@category,@priority,@rank,@type,@output
STYLE,3,20,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,true
BAD_PRACTICE,2,16,EQ_COMPARETO_USE_OBJECT_EQUALS,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,true
BAD_PRACTICE,3,19,DE_MIGHT_IGNORE,true
BAD_PRACTICE,3,19,DE_MIGHT_IGNORE,true
I18N,1,19,DM_DEFAULT_ENCODING,true
I18N,1,19,DM_DEFAULT_ENCODING,true
BAD_PRACTICE,3,19,SE_TRANSIENT_FIELD_NOT_RESTORED,true
BAD_PRACTICE,3,19,SE_TRANSIENT_FIELD_NOT_RESTORED,true
STYLE,2,19,SF_SWITCH_NO_DEFAULT,true
MT_CORRECTNESS,3,17,LI_LAZY_INIT_STATIC,true
STYLE,3,20,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,true
